Year,Month,Monthly Precipitation Total (millimetres)
1939,6,204.1
1939,7,127.7
1939,8,186.7
1939,9,64.4
1939,10,42.7
1939,11,133.7
1939,12,10.9
1940,1,47.7
1940,2,15
1940,3,33.2
1940,4,162.3
1940,5,53
1940,6,54.4
1940,7,179.9
1940,8,82.6
1940,9,60.6
1940,10,22.7
1940,11,81.6
1940,12,38.6
1941,1,110.5
1941,2,16
1941,3,99.8
1941,4,43.6
1941,5,56.9
1941,6,94.3
1941,7,220.5
1941,8,64.4
1941,9,237
1941,10,48.2
1941,11,23.3
1941,12,31.3
1942,1,69.8
1942,2,16
1942,3,17.6
1942,4,73
1942,5,238
1942,6,291.5
1942,7,131.1
1942,8,230.6
1942,9,149.1
1942,10,66.5
1942,11,42.9
1942,12,16.1
1943,1,30.5
1943,2,73.2
1943,3,2
1943,4,162
1943,5,42.9
1943,6,134.6
1943,7,183.6
1943,8,145.6
1943,9,114.6
1943,10,45.1
1943,11,31.5
1943,12,25.5
1944,1,12.5
1944,2,50.8
1944,3,15.2
1944,4,62.8
1944,5,168.8
1944,6,45
1944,7,168.2
1944,8,19
1944,9,34.5
1944,10,76.8
1944,11,94.1
1944,12,41.9
1945,1,46
1945,2,59.3
1945,3,5.9
1945,4,12.2
1945,5,81.6
1945,6,73.7
1945,7,75.6
1945,8,187.6
1945,9,138.3
1945,10,143.7
1945,11,108.3
1945,12,36.5
1946,1,48.3
1946,2,208.5
1946,3,86.4
1946,4,76.2
1946,5,115.1
1946,6,112.4
1946,7,198.8
1946,8,126.4
1946,9,73
1946,10,75.4
1946,11,56.8
1946,12,145
1947,1,8.4
1947,2,27.5
1947,3,99.1
1947,4,68.4
1947,5,77.1
1947,6,138.4
1947,7,201.8
1947,8,178.2
1947,9,135.9
1947,10,195.7
1947,11,51.8
1947,12,72
1948,1,6.9
1948,2,8.1
1948,3,15.3
1948,4,140.7
1948,5,139.9
1948,6,102.2
1948,7,120.4
1948,8,190.3
1948,9,41.4
1948,10,198.6
1948,11,120.5
1948,12,37.6
1949,1,23.7
1949,2,95.7
1949,3,6.9
1949,4,18.4
1949,5,95.7
1949,6,52.3
1949,7,122.3
1949,8,96.2
1949,9,70.1
1949,10,271.6
1949,11,112.4
1949,12,8.2
1950,1,4.8
1950,2,37.1
1950,3,25.1
1950,4,30
1950,5,249.9
1950,6,129.7
1950,7,85.1
1950,8,117.4
1950,9,95.8
1950,10,91.7
1950,11,47.3
1950,12,15.8
1951,1,25.2
1951,2,25.4
1951,3,2.8
1951,4,115.7
1951,5,260.2
1951,6,188
1951,7,301.2
1951,8,198.2
1951,9,27.7
1951,10,169.6
1951,11,27.9
1951,12,105.1
1952,1,43.9
1952,2,8.7
1952,3,6.9
1952,4,97.8
1952,5,213.9
1952,6,117.7
1952,7,97.8
1952,8,116.1
1952,9,85.8
1952,10,133.7
1952,11,231.8
1952,12,43.6
1953,1,12.5
1953,2,19.3
1953,3,3.3
1953,4,64.6
1953,5,86.1
1953,6,333.9
1953,7,207.4
1953,8,146.8
1953,9,117.4
1953,10,78.4
1953,11,71.4
1953,12,74.7
1954,1,43.3
1954,2,6.4
1954,3,24.9
1954,4,152
1954,5,89.5
1954,6,135.7
1954,7,121.7
1954,8,74.1
1954,9,56.5
1954,10,73.3
1954,11,36.4
1954,12,41.9
1955,1,6.3
1955,2,80.8
1955,3,10.6
1955,4,68.8
1955,5,230.4
1955,6,346.2
1955,7,149.8
1955,8,214
1955,9,67.5
1955,10,83.3
1955,11,104.3
1955,12,46.8
1956,1,47.5
1956,2,0
1956,3,39.2
1956,4,232.5
1956,5,139.8
1956,6,281.9
1956,7,231
1956,8,156.9
1956,9,176.5
1956,10,73.5
1956,11,36.3
1956,12,29.1
1957,1,0
1957,2,1
1957,3,24.4
1957,4,79.1
1957,5,69.9
1957,6,80.6
